f1,f2,name,city,state,peak_elevation,base_elevation,vertical_drop,acres,trails,lifts,annual_snowfall,ticket_price,date_accessed,geocode,lat,lng
0,0,Cooper,Leadville,Colorado,"11,700","10,500",1200,400,39,4,260,52,"February 07, 2017","<[OK] Google - Geocode [The Pike and San Isabel National Forests & Cimarron and Comanche National Grasslands, 232 County Road 29, Leadville, CO 80461, USA]>",39.3607867,-106.3028081
1,1,Grand Targhee Resort,Alta,Wyoming,"10,121","7,851",2270,2602,99,5,500,80,"February 07, 2017","<[OK] Google - Geocode [Caribou-Targhee National Forest, 3300 Ski Hill Rd, Alta, WY 83414, USA]>",43.787113,-110.959296
2,2,Stratton Mountain Resort,Winhall,Vermont,"3,875","1,872",2003,670,97,11,180,92,"March 27, 2017","<[OK] Google - Geocode [Green Mountain and Finger Lakes National Forests, 5 Village Lodge Rd, South Londonderry, VT 05155, USA]>",43.1134411,-72.90813
3,3,Soldier Mountain,Fairfield,Idaho,"7,177","5,756",1400,1180,36,2,,40,"February 07, 2017","<[OK] Google - Geocode [Sawtooth National Forest, 1043 Soldier Creek Rd, Fairfield, ID 83327, USA]>",43.485512,-114.82938
4,4,Pomerelle Mountain Resort,Albion,Idaho,"9,000","8,000",1000,500,24,2,500,45,"February 07, 2017","<[OK] Google - Geocode [Sawtooth National Forest, 961 Howell Canyon Rd, Malta, ID 83342, USA]>",42.3179871,-113.6077523
5,5,Schweitzer,Sandpoint,Idaho,"6,400","2,400",4000,2900,92,7,300,77,"February 07, 2017","<[OK] Google - Geocode [10,000 Schweitzer Mountain Road, Selkirk Lodge, Sandpoint, ID 83864, United States]>",48.367287,-116.623398
6,6,Brundage Mountain,McCall,Idaho,"7,803","5,882",1921,1920,46,5,320,64,"February 07, 2017","<[OK] Google - Geocode [3890 Goose Lake Road, McCall, ID 83638, United States]>",45.0054,-116.154412
7,7,Bogus Basin,Boise,Idaho,"7,582","5,800",1800,2600,78,7,200,59,"February 07, 2017","<[OK] Google - Geocode [Bogus Basin, Idaho 83629, USA]>",43.7640569,-116.1026168
8,8,Sun Valley,Sun Valley,Idaho,"9,150","5,750",3400,2154,121,18,220,125,"February 07, 2017","<[OK] Google - Geocode [Sun Valley Rd, Sun Valley, ID 83353, USA]>",43.6964895,-114.3561968
9,9,Panorama Mountain Resort,Invermere,British Columbia,"7,792","3,773",4019,2847,120,10,196,92,"October, 2016","<[OK] Google - Geocode [2000 Panorama Dr, Panorama, BC V0A 1T0, Canada]>",50.460374,-116.238147
10,10,Whitefish Mountain Resort,Kalispell,Montana,"6,817","4,464",2353,3000,105,14,300,76,"October, 2016","<[OK] Google - Geocode [1015 Glades Dr, Whitefish, MT 59937, USA]>",48.4805905,-114.3503232
